Mode,Time
Control,1582.0
Control,1119.0
Experiment,2997.0
Experiment,3031.0
Control,3252.0
Experiment,3179.0
,
Control,2647.0
Control,6112.0
Experiment,4548.0
Experiment,7126.0
Control,3004.0
Experiment,1913.0
Experiment,1877.0
Experiment,1175.0
Control,1202.0
Experiment,25452.0
Experiment,10883.0
Experiment,1491.0
Control,540.0
Experiment,551.0
Control,1782.0
Control,1521.0
Control,4659.0
Control,3273.0
,
Control,208.0
Control,2487.0
Experiment,358.0
Experiment,1573.0
Experiment,865.0
Experiment,4675.0
,
,
Experiment,10464.0
Control,2311.0
Control,4617.0
Experiment,11891.0
Experiment,3835.0
Experiment,1912.0
Control,1359.0
Experiment,2563.0
Experiment,838.0
Control,2449.0
Control,4849.0
Control,15989.0
Experiment,7522.0
Experiment,4989.0
Experiment,2185.0
Experiment,1330.0
Control,245.0
Experiment,2031.0
Control,2324.0
Control,1413.0
Control,4439.0
Control,2086.0
Control,4512.0
Experiment,3338.0
Experiment,272.0
Experiment,2663.0
Experiment,5157.0
Experiment,1953.0
Control,13651.0
Control,2445.0
Control,1724.0
Experiment,1543.0
Control,1321.0
Experiment,4078.0
Control,3899.0
Control,1650.0
Experiment,4885.0
Experiment,2680.0
,
Experiment,11447.0
Control,1465.0
Experiment,6282.0
Experiment,4223.0
Experiment,1338.0
Control,1009.0
Control,1895.0
Control,1648.0
Experiment,2406.0
Control,8139.0
Experiment,3358.0
Control,1302.0
Experiment,1482.0
Experiment,1887.0
Experiment,911.0
,
Experiment,8823.0
Experiment,1062.0
Control,2247.0
Control,2406.0
Control,404.0
Experiment,1047.0
Experiment,4410.0
Experiment,3485.0
Control,3228.0
Control,2561.0
Experiment,1188.0
,
Experiment,6824.0
Experiment,1386.0
Control,3615.0
Experiment,1163.0
Experiment,1181.0
Experiment,1205.0
Control,1630.0
Experiment,2152.0
Experiment,5894.0
Experiment,1758.0
Control,415.0
Experiment,108.0
Control,9286.0
Experiment,2559.0
Experiment,2524.0
Experiment,1082.0
Experiment,1581.0
Experiment,3524.0
Control,4253.0
Control,2224.0
Control,1610.0
Control,2250.0
Control,171.0
Experiment,1317.0
Control,240.0
Experiment,4418.0
Control,756.0
Control,2286.0
Control,2092.0
,
Experiment,1372.0
Experiment,1460.0
Experiment,5275.0
Control,4700.0
Experiment,2247.0
Experiment,1086.0
Control,2201.0
Experiment,2426.0
Experiment,2527.0
Control,2531.0
Control,3278.0
Control,2863.0
Experiment,2720.0
,
Experiment,4825.0
Control,1319.0
Control,3667.0
Control,2861.0
Experiment,4221.0
Control,9284.0
Experiment,3608.0
Control,4515.0
Experiment,2335.0
Experiment,2115.0
Experiment,1602.0
Experiment,2092.0
Control,4459.0
Experiment,5855.0
Control,3554.0
Experiment,3640.0
Experiment,2540.0
Control,1458.0
Experiment,2224.0
Experiment,1449.0
Experiment,1745.0
Control,4020.0
Experiment,3254.0
Control,3564.0
Experiment,1309.0
Experiment,3401.0
Experiment,2744.0
Control,30341.0
Experiment,4007.0
Experiment,2027.0
Control,9067.0
Experiment,2920.0
Control,1742.0
Experiment,1239.0
Experiment,4981.0
Experiment,4023.0
Experiment,1654.0
Control,230.0
Experiment,4308.0
,
Experiment,5360.0
,
Control,2679.0
Control,3523.0
Experiment,4488.0
Control,3460.0
Experiment,1281.0
Control,1252.0
Control,3859.0
Experiment,1167.0
Experiment,1903.0
Control,5670.0
,
Experiment,1523.0
Control,1714.0
Control,5141.0
Control,6414.0
Control,4251.0
Experiment,4118.0
Control,2702.0
Control,1880.0
Experiment,2338.0
Control,1551.0
Control,1312.0
Control,2156.0
Experiment,2565.0
Control,6373.0
Experiment,1933.0
Experiment,4309.0
Control,5024.0
Control,7360.0
Experiment,402.0
Control,1095.0
Experiment,3985.0
Control,2193.0
Experiment,12974.0
Experiment,3868.0
,
Experiment,3995.0
Experiment,2268.0
Experiment,3356.0
Experiment,12059.0
Control,2152.0
Control,3075.0
Control,5158.0
Experiment,1936.0
Experiment,1688.0
Experiment,2864.0
Control,2172.0
Experiment,2447.0
,
Experiment,1272.0
Control,1243.0
Experiment,2164.0
Experiment,3549.0
Control,853.0
Control,56315.0
Experiment,3474.0
Control,3158.0
Experiment,1313.0
Experiment,1753.0
Experiment,2565.0
Control,859.0
Experiment,2805.0
Control,2261.0
Experiment,4119.0
Control,1200.0
Control,1505.0
Control,1883.0
Experiment,3180.0
Experiment,3809.0
,
Experiment,1979.0
Experiment,3938.0
Experiment,3145.0
Experiment,3405.0
Experiment,976.0
Control,1630.0
Control,2937.0
Experiment,673.0
Control,6153.0
Experiment,3714.0
Experiment,5880.0
Experiment,878.0
Experiment,1486.0
Control,1179.0
Experiment,2473.0
Experiment,2194.0
Experiment,1058.0
Experiment,4242.0
Control,4513.0
Control,690.0
Experiment,1524.0
Experiment,6358.0
Experiment,3578.0
Experiment,111.0
Experiment,1969.0
Experiment,11043.0
Experiment,312.0
Experiment,1220.0
Control,8411.0
Experiment,2084.0
Control,7456.0
Experiment,10335.0
Experiment,3865.0
Experiment,1205.0
Control,2007.0
Control,2883.0
Control,3872.0
Experiment,201.0
Experiment,721.0
Experiment,407.0
Experiment,2154.0
Control,3024.0
Control,5414.0
Control,1275.0
Experiment,3503.0
,
Control,27791.0
Experiment,2910.0
Experiment,2327.0
Control,4248.0
Control,132.0
Control,2621.0
Experiment,3878.0
Control,3268.0
Control,2600.0
Experiment,3308.0
Experiment,4370.0
Experiment,2422.0
Experiment,7090.0
Experiment,2464.0
Control,159.0
Experiment,599.0
Control,2413.0
Experiment,1135.0
Experiment,3079.0
Control,2312.0
Experiment,1976.0
Experiment,1990.0
Control,4852.0
Experiment,3431.0
Experiment,2828.0
Experiment,4612.0
Experiment,2799.0
Control,1758.0
Experiment,3062.0
Control,7160.0
Control,3653.0
Experiment,2094.0
Control,9270.0
Experiment,2017.0
Experiment,3103.0
Experiment,2863.0
Experiment,3076.0
Control,2644.0
Control,3414.0
Experiment,2591.0
Experiment,3357.0
Control,6169.0
,
Control,419.0
Control,1907.0
Experiment,1017.0
,
Experiment,1221.0
